Year,Id,Stage,Age,Sex,CurrentX,CurrentY,CurrentPatch
2000,1009846,juvenile,1,male,235.447530,255.227167,4
2000,1009845,juvenile,1,male,235.447530,255.227167,4
2000,1009844,juvenile,1,male,235.447530,255.227167,4
2000,1009843,juvenile,1,male,235.447530,255.227167,4
2000,1009842,juvenile,1,female,235.447530,255.227167,4
2000,1009841,juvenile,1,female,210.506586,242.216333,4
2000,1009872,juvenile,1,female,210.506586,242.216333,4
2000,1009871,juvenile,1,male,210.506586,242.216333,4
2000,1009870,juvenile,1,male,210.506586,242.216333,4
2000,1009869,juvenile,1,male,210.506586,242.216333,4
2000,1009868,juvenile,1,male,235.447530,255.227167,4
2000,1009867,juvenile,1,male,210.506586,242.216333,4
2000,1009866,juvenile,1,female,235.447530,255.227167,4
2000,1009865,juvenile,1,male,210.506586,242.216333,4
2000,1009864,juvenile,1,male,210.506586,242.216333,4
2000,1009863,juvenile,1,male,235.447530,255.227167,4
2000,1009862,juvenile,1,female,210.506586,242.216333,4
2000,1009861,juvenile,1,female,210.506586,242.216333,4
2000,1009860,juvenile,1,female,235.447530,255.227167,4
2000,1009859,juvenile,1,female,235.447530,255.227167,4
2000,1009858,juvenile,1,female,210.506586,242.216333,4
2000,1009857,juvenile,1,male,210.506586,242.216333,4
2000,1009888,juvenile,1,male,430.374781,47.628582,5
2000,1009887,juvenile,1,female,430.374781,47.628582,5
2000,1009886,juvenile,1,male,430.374781,47.628582,5
2000,1009885,juvenile,1,female,430.374781,47.628582,5
2000,1009884,juvenile,1,female,430.374781,47.628582,5
2000,1009883,juvenile,1,male,430.374781,47.628582,5
2000,1009882,juvenile,1,male,430.374781,47.628582,5
2000,1009881,juvenile,1,female,430.374781,47.628582,5
2000,1009880,juvenile,1,female,465.244293,32.467150,5
2000,1009879,juvenile,1,male,430.374781,47.628582,5
2000,1009878,juvenile,1,male,430.374781,47.628582,5
2000,1009877,juvenile,1,female,210.506586,242.216333,4
2000,1009876,juvenile,1,female,210.506586,242.216333,4
2000,1009875,juvenile,1,female,210.506586,242.216333,4
2000,1009874,juvenile,1,female,210.506586,242.216333,4
2000,1009873,juvenile,1,female,210.506586,242.216333,4
2000,1009904,juvenile,1,male,430.374781,47.628582,5
2000,1009903,juvenile,1,male,430.374781,47.628582,5
2000,1009902,juvenile,1,male,430.374781,47.628582,5
2000,1009901,juvenile,1,male,430.374781,47.628582,5
2000,1009900,juvenile,1,female,430.374781,47.628582,5
2000,1009899,juvenile,1,female,465.244293,32.467150,5
2000,1009898,juvenile,1,male,465.244293,32.467150,5
2000,1009897,juvenile,1,female,430.374781,47.628582,5
2000,1009896,juvenile,1,male,465.244293,32.467150,5
2000,1009895,juvenile,1,female,430.374781,47.628582,5
2000,1009894,juvenile,1,female,430.374781,47.628582,5
2000,1009893,juvenile,1,female,430.374781,47.628582,5
2000,1009892,juvenile,1,male,430.374781,47.628582,5
2000,1009891,juvenile,1,male,430.374781,47.628582,5
2000,1009890,juvenile,1,male,430.374781,47.628582,5
2000,1009889,juvenile,1,female,430.374781,47.628582,5
2000,1009920,juvenile,1,female,430.374781,47.628582,5
2000,1009919,juvenile,1,female,430.374781,47.628582,5
2000,1009918,juvenile,1,female,430.374781,47.628582,5
2000,1009917,juvenile,1,male,430.374781,47.628582,5
2000,1009916,juvenile,1,male,430.374781,47.628582,5
2000,1009915,juvenile,1,female,430.374781,47.628582,5
2000,1009914,juvenile,1,male,430.374781,47.628582,5
2000,1009913,juvenile,1,female,430.374781,47.628582,5
2000,1009912,juvenile,1,male,430.374781,47.628582,5
2000,1009911,juvenile,1,female,430.374781,47.628582,5
2000,1009910,juvenile,1,male,430.374781,47.628582,5
2000,1009909,juvenile,1,male,430.374781,47.628582,5
2000,1009908,juvenile,1,male,430.374781,47.628582,5
2000,1009907,juvenile,1,female,430.374781,47.628582,5
2000,1009906,juvenile,1,male,430.374781,47.628582,5
2000,1009905,juvenile,1,female,430.374781,47.628582,5
2000,1009936,juvenile,1,male,85.995734,344.204668,6
2000,1009935,juvenile,1,female,85.995734,344.204668,6
2000,1009934,juvenile,1,male,85.995734,344.204668,6
2000,1009933,juvenile,1,female,85.995734,344.204668,6
2000,1009932,juvenile,1,female,430.374781,47.628582,5
2000,1009931,juvenile,1,male,430.374781,47.628582,5
2000,1009930,juvenile,1,male,430.374781,47.628582,5
2000,1009929,juvenile,1,male,430.374781,47.628582,5
2000,1009928,juvenile,1,female,430.374781,47.628582,5
2000,1009927,juvenile,1,female,465.244293,32.467150,5
2000,1009926,juvenile,1,male,465.244293,32.467150,5
2000,1009925,juvenile,1,female,465.244293,32.467150,5
2000,1009924,juvenile,1,male,430.374781,47.628582,5
2000,1009923,juvenile,1,female,465.244293,32.467150,5
2000,1009922,juvenile,1,female,465.244293,32.467150,5
2000,1009921,juvenile,1,female,465.244293,32.467150,5
2000,1009952,juvenile,1,male,97.047365,382.665264,6
2000,1009951,juvenile,1,male,97.047365,382.665264,6
2000,1009950,juvenile,1,male,97.047365,382.665264,6
2000,1009949,juvenile,1,female,85.995734,344.204668,6
2000,1009948,juvenile,1,male,85.995734,344.204668,6
2000,1009947,juvenile,1,male,85.995734,344.204668,6
2000,1009946,juvenile,1,female,85.995734,344.204668,6
2000,1009945,juvenile,1,female,85.995734,344.204668,6
2000,1009944,juvenile,1,female,85.995734,344.204668,6
2000,1009943,juvenile,1,female,97.047365,382.665264,6
2000,1009942,juvenile,1,female,85.995734,344.204668,6
2000,1009941,juvenile,1,male,85.995734,344.204668,6
2000,1009940,juvenile,1,female,85.995734,344.204668,6
2000,1009939,juvenile,1,female,85.995734,344.204668,6
2000,1009938,juvenile,1,female,97.047365,382.665264,6
2000,1009937,juvenile,1,male,85.995734,344.204668,6
2000,1009968,juvenile,1,female,85.995734,344.204668,6
2000,1009967,juvenile,1,female,97.047365,382.665264,6
2000,1009966,juvenile,1,male,85.995734,344.204668,6
2000,1009965,juvenile,1,male,85.995734,344.204668,6
2000,1009964,juvenile,1,female,85.995734,344.204668,6
2000,1009963,juvenile,1,male,85.995734,344.204668,6
2000,1009962,juvenile,1,male,85.995734,344.204668,6
2000,1009961,juvenile,1,female,85.995734,344.204668,6
2000,1009960,juvenile,1,female,85.995734,344.204668,6
2000,1009959,juvenile,1,female,85.995734,344.204668,6
2000,1009958,juvenile,1,male,85.995734,344.204668,6
2000,1009957,juvenile,1,female,85.995734,344.204668,6
2000,1009956,juvenile,1,male,85.995734,344.204668,6
2000,1009955,juvenile,1,female,85.995734,344.204668,6
2000,1009954,juvenile,1,female,97.047365,382.665264,6
2000,1009953,juvenile,1,female,97.047365,382.665264,6
2000,1009984,juvenile,1,female,239.392452,101.294706,7
2000,1009983,juvenile,1,male,239.392452,101.294706,7
2000,1009982,juvenile,1,male,239.392452,101.294706,7
2000,1009981,juvenile,1,male,239.392452,101.294706,7
2000,1009980,juvenile,1,female,239.392452,101.294706,7
2000,1009979,juvenile,1,male,239.392452,101.294706,7
2000,1009978,juvenile,1,male,85.995734,344.204668,6
2000,1009977,juvenile,1,male,85.995734,344.204668,6
2000,1009976,juvenile,1,female,85.995734,344.204668,6
2000,1009975,juvenile,1,female,85.995734,344.204668,6
2000,1009974,juvenile,1,female,85.995734,344.204668,6
2000,1009973,juvenile,1,female,85.995734,344.204668,6
2000,1009972,juvenile,1,female,85.995734,344.204668,6
2000,1009971,juvenile,1,female,85.995734,344.204668,6
2000,1009970,juvenile,1,male,85.995734,344.204668,6
2000,1009969,juvenile,1,male,85.995734,344.204668,6
2000,1010000,juvenile,1,male,239.392452,101.294706,7
2000,1009999,juvenile,1,male,239.392452,101.294706,7
2000,1009998,juvenile,1,male,239.392452,101.294706,7
2000,1009997,juvenile,1,male,239.392452,101.294706,7
2000,1009996,juvenile,1,female,239.392452,101.294706,7
2000,1009995,juvenile,1,female,239.392452,101.294706,7
2000,1009994,juvenile,1,female,239.392452,101.294706,7
2000,1009993,juvenile,1,male,239.392452,101.294706,7
2000,1009992,juvenile,1,female,239.392452,101.294706,7
2000,1009991,juvenile,1,female,239.392452,101.294706,7
2000,1009990,juvenile,1,male,239.392452,101.294706,7
2000,1009989,juvenile,1,female,239.392452,101.294706,7
2000,1009988,juvenile,1,female,239.392452,101.294706,7
2000,1009987,juvenile,1,male,239.392452,101.294706,7
2000,1009986,juvenile,1,female,239.392452,101.294706,7
2000,1009985,juvenile,1,male,239.392452,101.294706,7
2000,1010016,juvenile,1,female,239.392452,101.294706,7
2000,1010015,juvenile,1,male,239.392452,101.294706,7
2000,1010014,juvenile,1,female,239.392452,101.294706,7
2000,1010013,juvenile,1,male,239.392452,101.294706,7
2000,1010012,juvenile,1,male,239.392452,101.294706,7
2000,1010011,juvenile,1,female,239.392452,101.294706,7
